,age,job,normalized_age
0,56,housemaid,0.5714285714285714
1,57,services,0.5816326530612245
2,37,services,0.37755102040816324
3,40,admin.,0.40816326530612246
4,56,services,0.5714285714285714
5,45,services,0.45918367346938777
6,59,admin.,0.6020408163265306
7,41,blue-collar,0.41836734693877553
8,24,technician,0.24489795918367346
9,25,services,0.25510204081632654
10,41,blue-collar,0.41836734693877553
11,25,services,0.25510204081632654
12,29,blue-collar,0.29591836734693877
13,57,housemaid,0.5816326530612245
14,35,blue-collar,0.35714285714285715
15,54,retired,0.5510204081632653
16,35,blue-collar,0.35714285714285715
17,46,blue-collar,0.46938775510204084
18,50,blue-collar,0.5102040816326531
19,39,management,0.3979591836734694
20,30,unemployed,0.30612244897959184
21,55,blue-collar,0.5612244897959183
22,55,retired,0.5612244897959183
23,41,technician,0.41836734693877553
24,37,admin.,0.37755102040816324
25,35,technician,0.35714285714285715
26,59,technician,0.6020408163265306
27,39,self-employed,0.3979591836734694
28,54,technician,0.5510204081632653
29,55,unknown,0.5612244897959183
30,46,admin.,0.46938775510204084
31,59,technician,0.6020408163265306
32,49,blue-collar,0.5
33,54,management,0.5510204081632653
34,54,blue-collar,0.5510204081632653
35,55,unknown,0.5612244897959183
36,34,services,0.3469387755102041
37,52,technician,0.5306122448979592
38,41,admin.,0.41836734693877553
39,56,technician,0.5714285714285714
40,58,management,0.5918367346938775
41,32,entrepreneur,0.32653061224489793
42,38,admin.,0.3877551020408163
43,57,admin.,0.5816326530612245
44,44,admin.,0.4489795918367347
45,42,technician,0.42857142857142855
46,57,admin.,0.5816326530612245
47,40,blue-collar,0.40816326530612246
48,35,admin.,0.35714285714285715
49,45,blue-collar,0.45918367346938777
50,54,admin.,0.5510204081632653
51,39,housemaid,0.3979591836734694
52,60,admin.,0.6122448979591837
53,53,admin.,0.5408163265306123
54,55,blue-collar,0.5612244897959183
55,55,technician,0.5612244897959183
56,50,management,0.5102040816326531
57,45,services,0.45918367346938777
58,55,unemployed,0.5612244897959183
59,25,technician,0.25510204081632654
60,47,entrepreneur,0.47959183673469385
61,51,blue-collar,0.5204081632653061
62,42,blue-collar,0.42857142857142855
63,42,blue-collar,0.42857142857142855
64,48,admin.,0.4897959183673469
65,37,admin.,0.37755102040816324
66,44,blue-collar,0.4489795918367347
67,33,admin.,0.336734693877551
68,56,admin.,0.5714285714285714
69,44,blue-collar,0.4489795918367347
70,41,management,0.41836734693877553
71,44,management,0.4489795918367347
72,47,admin.,0.47959183673469385
73,57,unknown,0.5816326530612245
74,37,admin.,0.37755102040816324
75,41,blue-collar,0.41836734693877553
76,55,technician,0.5612244897959183
77,33,services,0.336734693877551
78,55,management,0.5612244897959183
79,42,blue-collar,0.42857142857142855
80,50,blue-collar,0.5102040816326531
81,51,blue-collar,0.5204081632653061
82,38,admin.,0.3877551020408163
83,49,entrepreneur,0.5
84,38,technician,0.3877551020408163
85,31,admin.,0.3163265306122449
86,41,management,0.41836734693877553
87,39,admin.,0.3979591836734694
88,49,technician,0.5
89,34,admin.,0.3469387755102041
90,35,admin.,0.35714285714285715
91,57,unknown,0.5816326530612245
92,60,admin.,0.6122448979591837
93,33,unemployed,0.336734693877551
94,42,blue-collar,0.42857142857142855
95,45,services,0.45918367346938777
96,42,management,0.42857142857142855
97,53,admin.,0.5408163265306123
98,37,technician,0.37755102040816324
99,44,blue-collar,0.4489795918367347
100,54,services,0.5510204081632653
101,49,blue-collar,0.5
102,54,services,0.5510204081632653
103,52,admin.,0.5306122448979592
104,52,admin.,0.5306122448979592
105,43,services,0.4387755102040816
106,34,housemaid,0.3469387755102041
107,35,admin.,0.35714285714285715
108,42,entrepreneur,0.42857142857142855
109,43,technician,0.4387755102040816
110,60,retired,0.6122448979591837
111,58,unemployed,0.5918367346938775
112,35,services,0.35714285714285715
113,55,blue-collar,0.5612244897959183
114,37,management,0.37755102040816324
115,36,blue-collar,0.3673469387755102
116,52,admin.,0.5306122448979592
117,57,blue-collar,0.5816326530612245
118,56,admin.,0.5714285714285714
119,48,blue-collar,0.4897959183673469
120,40,blue-collar,0.40816326530612246
121,49,blue-collar,0.5
122,41,services,0.41836734693877553
123,45,technician,0.45918367346938777
124,32,admin.,0.32653061224489793
125,42,admin.,0.42857142857142855
126,50,admin.,0.5102040816326531
127,31,technician,0.3163265306122449
128,56,retired,0.5714285714285714
129,41,technician,0.41836734693877553
130,37,blue-collar,0.37755102040816324
131,41,technician,0.41836734693877553
132,35,blue-collar,0.35714285714285715
133,37,blue-collar,0.37755102040816324
134,52,management,0.5306122448979592
135,39,management,0.3979591836734694
136,39,housemaid,0.3979591836734694
137,56,blue-collar,0.5714285714285714
138,34,services,0.3469387755102041
139,45,blue-collar,0.45918367346938777
140,43,unemployed,0.4387755102040816
141,56,management,0.5714285714285714
142,39,management,0.3979591836734694
143,53,blue-collar,0.5408163265306123
144,38,unknown,0.3877551020408163
145,42,blue-collar,0.42857142857142855
146,42,blue-collar,0.42857142857142855
147,35,admin.,0.35714285714285715
148,40,admin.,0.40816326530612246
149,51,blue-collar,0.5204081632653061
150,60,blue-collar,0.6122448979591837
151,56,entrepreneur,0.5714285714285714
152,39,services,0.3979591836734694
153,56,entrepreneur,0.5714285714285714
154,40,blue-collar,0.40816326530612246
155,36,blue-collar,0.3673469387755102
156,51,blue-collar,0.5204081632653061
157,51,blue-collar,0.5204081632653061
158,43,technician,0.4387755102040816
159,59,services,0.6020408163265306
160,24,management,0.24489795918367346
161,37,blue-collar,0.37755102040816324
162,40,blue-collar,0.40816326530612246
163,42,blue-collar,0.42857142857142855
164,39,services,0.3979591836734694
165,37,entrepreneur,0.37755102040816324
166,38,services,0.3877551020408163
167,56,admin.,0.5714285714285714
168,40,blue-collar,0.40816326530612246
169,54,management,0.5510204081632653
170,43,blue-collar,0.4387755102040816
171,36,services,0.3673469387755102
172,45,technician,0.45918367346938777
173,42,admin.,0.42857142857142855
174,43,services,0.4387755102040816
175,46,management,0.46938775510204084
176,44,services,0.4489795918367347
177,51,admin.,0.5204081632653061
