Date,High,Low,Open,Close,Volume,Adj Close
2019-04-04,379.6000061035156,373.0,376.0,376.0,13704181,374.9715576171875
2019-04-08,381.6000061035156,376.3999938964844,380.0,380.20001220703125,16256581,379.1600646972656
2019-04-09,383.79998779296875,375.79998779296875,375.79998779296875,383.6000061035156,14580090,382.5507507324219
2019-04-10,389.3999938964844,379.79998779296875,383.0,388.79998779296875,15552576,387.73651123046875
2019-04-11,400.3999938964844,391.0,396.0,391.3999938964844,33601497,390.32940673828125
2019-04-12,393.79998779296875,387.3999938964844,390.0,393.79998779296875,12791161,392.72283935546875
2019-04-15,398.3999938964844,388.20001220703125,395.6000061035156,388.20001220703125,14001061,387.13818359375
2019-04-16,394.0,385.0,390.0,393.6000061035156,13024291,392.5234069824219
2019-04-17,397.79998779296875,392.6000061035156,393.6000061035156,395.6000061035156,12785801,394.5179443359375
2019-04-18,395.6000061035156,388.6000061035156,393.0,391.6000061035156,13142202,390.52886962890625
2019-04-23,395.6000061035156,389.0,391.79998779296875,393.0,13309338,391.925048828125
2019-04-24,397.79998779296875,390.0,397.79998779296875,393.0,15219647,391.925048828125
2019-04-25,391.79998779296875,382.6000061035156,390.0,382.79998779296875,15543878,381.7529296875
2019-04-26,385.79998779296875,380.0,380.0,384.0,12886453,382.94964599609375
2019-04-29,391.79998779296875,384.0,384.0,390.6000061035156,13451044,389.5316162109375
2019-04-30,390.3999938964844,384.3999938964844,386.0,388.0,9657162,386.938720703125
2019-05-02,391.3999938964844,384.0,390.0,391.3999938964844,9045685,390.32940673828125
2019-05-03,389.6000061035156,384.6000061035156,387.20001220703125,387.79998779296875,9661796,386.7392578125
